position,origin_generation,abs_population_freq,selection_coefficient,dominance_coefficient,active_mutations,current_generation
5000.560399,360,1,1,0.5,2,10364
5000.560399,361,1,1,0.5,2,10365
5000.560399,362,3,1,0.5,2,10366
5000.560399,363,2,1,0.5,2,10367
5000.560399,364,3,1,0.5,2,10368
5000.560399,365,9,1,0.5,2,10369
5000.560399,366,9,1,0.5,2,10370
5000.560399,367,10,1,0.5,2,10371
5000.560399,368,10,1,0.5,2,10372
5000.560399,369,9,1,0.5,2,10373
5000.560399,370,14,1,0.5,2,10374
5000.560399,371,12,1,0.5,2,10375
5000.560399,372,12,1,0.5,2,10376
5000.560399,373,16,1,0.5,2,10377
5000.560399,374,17,1,0.5,2,10378
5000.560399,375,22,1,0.5,2,10379
5000.560399,376,19,1,0.5,2,10380
5000.560399,377,27,1,0.5,2,10381
5000.560399,378,22,1,0.5,2,10382
5000.560399,379,36,1,0.5,2,10383
5000.560399,380,32,1,0.5,2,10384
5000.560399,381,26,1,0.5,2,10385
5000.560399,382,30,1,0.5,2,10386
5000.560399,383,39,1,0.5,2,10387
5000.560399,384,55,1,0.5,2,10388
5000.560399,385,54,1,0.5,2,10389
5000.560399,386,75,1,0.5,2,10390
5000.560399,387,88,1,0.5,2,10391
5000.560399,388,83,1,0.5,2,10392
5000.560399,389,93,1,0.5,2,10393
5000.560399,390,97,1,0.5,2,10394
5000.560399,391,106,1,0.5,2,10395
5000.560399,392,134,1,0.5,2,10396
5000.560399,393,136,1,0.5,2,10397
5000.560399,394,134,1,0.5,2,10398
5000.560399,395,162,1,0.5,2,10399
5000.560399,396,155,1,0.5,2,10400
5000.560399,397,177,1,0.5,2,10401
5000.560399,398,189,1,0.5,2,10402
5000.560399,399,223,1,0.5,2,10403
5000.560399,400,237,1,0.5,2,10404
5000.560399,401,246,1,0.5,1,10405
5000.560399,402,297,1,0.5,1,10406
5000.560399,403,310,1,0.5,1,10407
5000.560399,404,338,1,0.5,1,10408
5000.560399,405,338,1,0.5,1,10409
5000.560399,406,361,1,0.5,1,10410
5000.560399,407,389,1,0.5,1,10411
5000.560399,408,397,1,0.5,1,10412
5000.560399,409,463,1,0.5,1,10413
5000.560399,410,441,1,0.5,1,10414
5000.560399,411,506,1,0.5,1,10415
5000.560399,412,543,1,0.5,1,10416
5000.560399,413,556,1,0.5,1,10417
5000.560399,414,601,1,0.5,1,10418
5000.560399,415,620,1,0.5,1,10419
5000.560399,416,636,1,0.5,1,10420
5000.560399,417,672,1,0.5,1,10421
5000.560399,418,707,1,0.5,1,10422
5000.560399,419,703,1,0.5,1,10423
